Sample in Buffer,Sample in Window,TRIGGER,ad_in_IBUF[7:0],FRE1_index[15:0]
0,0,0,124,100
1,1,0,124,100
2,2,0,124,100
3,3,0,124,100
4,4,0,124,100
5,5,0,124,100
6,6,0,124,100
7,7,0,124,100
8,8,0,124,100
9,9,0,124,100
10,10,0,124,100
11,11,0,124,100
12,12,0,124,100
13,13,0,124,100
14,14,0,124,100
15,15,0,124,100
16,16,0,124,100
17,17,0,124,100
18,18,0,124,100
19,19,0,124,100
20,20,0,124,100
21,21,0,124,100
22,22,0,124,100
23,23,0,124,100
24,24,0,124,100
25,25,0,124,100
26,26,0,124,100
27,27,0,124,100
28,28,0,124,100
29,29,0,124,100
30,30,0,124,100
31,31,0,124,100
32,32,0,124,100
33,33,0,124,100
34,34,0,124,100
35,35,0,124,100
36,36,0,124,100
37,37,0,124,100
38,38,0,124,100
39,39,0,124,100
40,40,0,124,100
41,41,0,124,100
42,42,0,124,100
43,43,0,124,100
44,44,0,124,100
45,45,0,124,100
46,46,0,124,100
47,47,0,124,100
48,48,0,124,100
49,49,0,124,100
50,50,0,124,100
51,51,0,124,100
52,52,0,124,100
53,53,0,124,100
54,54,0,124,100
55,55,0,124,100
56,56,0,124,100
57,57,0,124,100
58,58,0,124,100
59,59,0,124,100
60,60,0,124,100
61,61,0,124,100
62,62,0,124,100
63,63,0,124,100
64,64,0,124,100
65,65,0,124,100
66,66,0,124,100
67,67,0,124,100
68,68,0,124,100
69,69,0,124,100
70,70,0,124,100
71,71,0,124,100
72,72,0,124,100
73,73,0,124,100
74,74,0,124,100
75,75,0,124,100
76,76,0,124,100
77,77,0,124,100
78,78,0,124,100
79,79,0,124,100
80,80,0,124,100
81,81,0,124,100
82,82,0,124,100
83,83,0,124,100
84,84,0,124,100
85,85,0,124,100
86,86,0,124,100
87,87,0,124,100
88,88,0,124,100
89,89,0,124,100
90,90,0,124,100
91,91,0,124,100
92,92,0,124,100
93,93,0,124,100
94,94,0,124,100
95,95,0,124,100
96,96,0,124,100
97,97,0,124,100
98,98,0,124,100
99,99,0,124,100
100,100,0,124,100
101,101,0,124,100
102,102,0,124,100
103,103,0,124,100
104,104,0,124,100
105,105,0,124,100
106,106,0,124,100
107,107,0,124,100
108,108,0,124,100
109,109,0,124,100
110,110,0,124,100
111,111,0,124,100
112,112,0,124,100
113,113,0,124,100
114,114,0,124,100
115,115,0,124,100
116,116,0,124,100
117,117,0,124,100
118,118,0,124,100
119,119,0,124,100
120,120,0,124,100
121,121,0,124,100
122,122,0,124,100
123,123,0,124,100
124,124,0,124,100
125,125,0,124,100
126,126,0,124,100
127,127,0,124,100
128,128,0,124,100
129,129,0,124,100
130,130,0,124,100
131,131,0,124,100
132,132,0,124,100
133,133,0,124,100
134,134,0,124,100
135,135,0,124,100
136,136,0,124,100
137,137,0,124,100
138,138,0,124,100
139,139,0,124,100
140,140,0,124,100
141,141,0,124,100
142,142,0,124,100
143,143,0,124,100
144,144,0,124,100
145,145,0,124,100
146,146,0,124,100
147,147,0,124,100
148,148,0,124,100
149,149,0,124,100
150,150,0,124,100
151,151,0,124,100
152,152,0,124,100
153,153,0,124,100
154,154,0,124,100
155,155,0,124,100
156,156,0,124,100
157,157,0,124,100
158,158,0,124,100
159,159,0,124,100
160,160,0,124,100
161,161,0,124,100
162,162,0,124,100
163,163,0,124,100
164,164,0,124,100
165,165,0,124,100
166,166,0,124,100
167,167,0,124,100
168,168,0,124,100
169,169,0,124,100
170,170,0,124,100
171,171,0,124,100
172,172,0,124,100
173,173,0,124,100
174,174,0,124,100
175,175,0,124,100
176,176,0,124,100
177,177,0,124,100
178,178,0,124,100
179,179,0,124,100
180,180,0,124,100
181,181,0,124,100
182,182,0,124,100
183,183,0,124,100
184,184,0,124,100
185,185,0,124,100
186,186,0,124,100
187,187,0,124,100
188,188,0,124,100
189,189,0,124,100
190,190,0,124,100
191,191,0,124,100
192,192,0,124,100
193,193,0,124,100
194,194,0,124,100
195,195,0,124,100
196,196,0,124,100
197,197,0,124,100
198,198,0,124,100
199,199,0,124,100
200,200,0,124,100
201,201,0,124,100
202,202,0,124,100
203,203,0,124,100
204,204,0,124,100
205,205,0,124,100
206,206,0,124,100
207,207,0,124,100
208,208,0,124,100
209,209,0,124,100
210,210,0,124,100
211,211,0,124,100
212,212,0,124,100
213,213,0,124,100
214,214,0,124,100
215,215,0,124,100
216,216,0,124,100
217,217,0,124,100
218,218,0,124,100
219,219,0,124,100
220,220,0,124,100
221,221,0,124,100
222,222,0,124,100
223,223,0,124,100
224,224,0,124,100
225,225,0,124,100
226,226,0,124,100
227,227,0,124,100
228,228,0,124,100
229,229,0,124,100
